"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"12/02/2025 17:00:00 - 12/02/2025 17:15:00","BZN|PL","Without Sequence","152.18","",""
"12/02/2025 17:15:00 - 12/02/2025 17:30:00","BZN|PL","Without Sequence","152.18","",""
"12/02/2025 17:30:00 - 12/02/2025 17:45:00","BZN|PL","Without Sequence","152.18","",""
"12/02/2025 17:45:00 - 12/02/2025 18:00:00","BZN|PL","Without Sequence","152.18","",""
"12/02/2025 18:00:00 - 12/02/2025 18:15:00","BZN|PL","Without Sequence","152.41","",""
"12/02/2025 18:15:00 - 12/02/2025 18:30:00","BZN|PL","Without Sequence","152.41","",""
"12/02/2025 18:30:00 - 12/02/2025 18:45:00","BZN|PL","Without Sequence","152.41","",""
"12/02/2025 18:45:00 - 12/02/2025 19:00:00","BZN|PL","Without Sequence","152.41","",""
"12/02/2025 19:00:00 - 12/02/2025 19:15:00","BZN|PL","Without Sequence","144.99","",""
"12/02/2025 19:15:00 - 12/02/2025 19:30:00","BZN|PL","Without Sequence","144.99","",""
"12/02/2025 19:30:00 - 12/02/2025 19:45:00","BZN|PL","Without Sequence","144.99","",""
"12/02/2025 19:45:00 - 12/02/2025 20:00:00","BZN|PL","Without Sequence","144.99","",""
"12/02/2025 20:00:00 - 12/02/2025 20:15:00","BZN|PL","Without Sequence","133.59","",""
"12/02/2025 20:15:00 - 12/02/2025 20:30:00","BZN|PL","Without Sequence","133.59","",""
"12/02/2025 20:30:00 - 12/02/2025 20:45:00","BZN|PL","Without Sequence","133.59","",""
"12/02/2025 20:45:00 - 12/02/2025 21:00:00","BZN|PL","Without Sequence","133.59","",""
"12/02/2025 21:00:00 - 12/02/2025 21:15:00","BZN|PL","Without Sequence","147.40","",""
"12/02/2025 21:15:00 - 12/02/2025 21:30:00","BZN|PL","Without Sequence","147.40","",""
"12/02/2025 21:30:00 - 12/02/2025 21:45:00","BZN|PL","Without Sequence","147.40","",""
"12/02/2025 21:45:00 - 12/02/2025 22:00:00","BZN|PL","Without Sequence","147.40","",""
"12/02/2025 22:00:00 - 12/02/2025 22:15:00","BZN|PL","Without Sequence","139.60","",""
"12/02/2025 22:15:00 - 12/02/2025 22:30:00","BZN|PL","Without Sequence","139.60","",""
"12/02/2025 22:30:00 - 12/02/2025 22:45:00","BZN|PL","Without Sequence","139.60","",""
"12/02/2025 22:45:00 - 12/02/2025 23:00:00","BZN|PL","Without Sequence","139.60","",""
"12/02/2025 23:00:00 - 12/02/2025 23:15:00","BZN|PL","Without Sequence","138.57","",""
"12/02/2025 23:15:00 - 12/02/2025 23:30:00","BZN|PL","Without Sequence","138.57","",""
"12/02/2025 23:30:00 - 12/02/2025 23:45:00","BZN|PL","Without Sequence","138.57","",""
"12/02/2025 23:45:00 - 13/02/2025 00:00:00","BZN|PL","Without Sequence","138.57","",""
"13/02/2025 00:00:00 - 13/02/2025 00:15:00","BZN|PL","Without Sequence","128.32","",""
"13/02/2025 00:15:00 - 13/02/2025 00:30:00","BZN|PL","Without Sequence","128.32","",""
"13/02/2025 00:30:00 - 13/02/2025 00:45:00","BZN|PL","Without Sequence","128.32","",""
"13/02/2025 00:45:00 - 13/02/2025 01:00:00","BZN|PL","Without Sequence","128.32","",""
"13/02/2025 01:00:00 - 13/02/2025 01:15:00","BZN|PL","Without Sequence","123.37","",""
"13/02/2025 01:15:00 - 13/02/2025 01:30:00","BZN|PL","Without Sequence","123.37","",""
"13/02/2025 01:30:00 - 13/02/2025 01:45:00","BZN|PL","Without Sequence","123.37","",""
"13/02/2025 01:45:00 - 13/02/2025 02:00:00","BZN|PL","Without Sequence","123.37","",""
"13/02/2025 02:00:00 - 13/02/2025 02:15:00","BZN|PL","Without Sequence","124.16","",""
"13/02/2025 02:15:00 - 13/02/2025 02:30:00","BZN|PL","Without Sequence","124.16","",""
"13/02/2025 02:30:00 - 13/02/2025 02:45:00","BZN|PL","Without Sequence","124.16","",""
"13/02/2025 02:45:00 - 13/02/2025 03:00:00","BZN|PL","Without Sequence","124.16","",""
"13/02/2025 03:00:00 - 13/02/2025 03:15:00","BZN|PL","Without Sequence","128.97","",""
"13/02/2025 03:15:00 - 13/02/2025 03:30:00","BZN|PL","Without Sequence","128.97","",""
"13/02/2025 03:30:00 - 13/02/2025 03:45:00","BZN|PL","Without Sequence","128.97","",""
"13/02/2025 03:45:00 - 13/02/2025 04:00:00","BZN|PL","Without Sequence","128.97","",""
"13/02/2025 04:00:00 - 13/02/2025 04:15:00","BZN|PL","Without Sequence","139.56","",""
"13/02/2025 04:15:00 - 13/02/2025 04:30:00","BZN|PL","Without Sequence","139.56","",""
"13/02/2025 04:30:00 - 13/02/2025 04:45:00","BZN|PL","Without Sequence","139.56","",""
"13/02/2025 04:45:00 - 13/02/2025 05:00:00","BZN|PL","Without Sequence","139.56","",""
"13/02/2025 05:00:00 - 13/02/2025 05:15:00","BZN|PL","Without Sequence","152.76","",""
"13/02/2025 05:15:00 - 13/02/2025 05:30:00","BZN|PL","Without Sequence","152.76","",""
"13/02/2025 05:30:00 - 13/02/2025 05:45:00","BZN|PL","Without Sequence","152.76","",""
"13/02/2025 05:45:00 - 13/02/2025 06:00:00","BZN|PL","Without Sequence","152.76","",""
"13/02/2025 06:00:00 - 13/02/2025 06:15:00","BZN|PL","Without Sequence","275.55","",""
"13/02/2025 06:15:00 - 13/02/2025 06:30:00","BZN|PL","Without Sequence","275.55","",""
"13/02/2025 06:30:00 - 13/02/2025 06:45:00","BZN|PL","Without Sequence","275.55","",""
"13/02/2025 06:45:00 - 13/02/2025 07:00:00","BZN|PL","Without Sequence","275.55","",""
"13/02/2025 07:00:00 - 13/02/2025 07:15:00","BZN|PL","Without Sequence","258.12","",""
"13/02/2025 07:15:00 - 13/02/2025 07:30:00","BZN|PL","Without Sequence","258.12","",""
"13/02/2025 07:30:00 - 13/02/2025 07:45:00","BZN|PL","Without Sequence","258.12","",""
"13/02/2025 07:45:00 - 13/02/2025 08:00:00","BZN|PL","Without Sequence","258.12","",""
"13/02/2025 08:00:00 - 13/02/2025 08:15:00","BZN|PL","Without Sequence","231.10","",""
"13/02/2025 08:15:00 - 13/02/2025 08:30:00","BZN|PL","Without Sequence","231.10","",""
"13/02/2025 08:30:00 - 13/02/2025 08:45:00","BZN|PL","Without Sequence","231.10","",""
"13/02/2025 08:45:00 - 13/02/2025 09:00:00","BZN|PL","Without Sequence","231.10","",""
"13/02/2025 09:00:00 - 13/02/2025 09:15:00","BZN|PL","Without Sequence","180.75","",""
"13/02/2025 09:15:00 - 13/02/2025 09:30:00","BZN|PL","Without Sequence","180.75","",""
"13/02/2025 09:30:00 - 13/02/2025 09:45:00","BZN|PL","Without Sequence","180.75","",""
"13/02/2025 09:45:00 - 13/02/2025 10:00:00","BZN|PL","Without Sequence","180.75","",""
"13/02/2025 10:00:00 - 13/02/2025 10:15:00","BZN|PL","Without Sequence","174.18","",""
"13/02/2025 10:15:00 - 13/02/2025 10:30:00","BZN|PL","Without Sequence","174.18","",""
"13/02/2025 10:30:00 - 13/02/2025 10:45:00","BZN|PL","Without Sequence","174.18","",""
"13/02/2025 10:45:00 - 13/02/2025 11:00:00","BZN|PL","Without Sequence","174.18","",""
"13/02/2025 11:00:00 - 13/02/2025 11:15:00","BZN|PL","Without Sequence","177.35","",""
"13/02/2025 11:15:00 - 13/02/2025 11:30:00","BZN|PL","Without Sequence","177.35","",""
"13/02/2025 11:30:00 - 13/02/2025 11:45:00","BZN|PL","Without Sequence","177.35","",""
"13/02/2025 11:45:00 - 13/02/2025 12:00:00","BZN|PL","Without Sequence","177.35","",""
"13/02/2025 12:00:00 - 13/02/2025 12:15:00","BZN|PL","Without Sequence","184.24","",""
"13/02/2025 12:15:00 - 13/02/2025 12:30:00","BZN|PL","Without Sequence","184.24","",""
"13/02/2025 12:30:00 - 13/02/2025 12:45:00","BZN|PL","Without Sequence","184.24","",""
"13/02/2025 12:45:00 - 13/02/2025 13:00:00","BZN|PL","Without Sequence","184.24","",""
"13/02/2025 13:00:00 - 13/02/2025 13:15:00","BZN|PL","Without Sequence","190.61","",""
"13/02/2025 13:15:00 - 13/02/2025 13:30:00","BZN|PL","Without Sequence","190.61","",""
"13/02/2025 13:30:00 - 13/02/2025 13:45:00","BZN|PL","Without Sequence","190.61","",""
"13/02/2025 13:45:00 - 13/02/2025 14:00:00","BZN|PL","Without Sequence","190.61","",""
"13/02/2025 14:00:00 - 13/02/2025 14:15:00","BZN|PL","Without Sequence","208.68","",""
"13/02/2025 14:15:00 - 13/02/2025 14:30:00","BZN|PL","Without Sequence","208.68","",""
"13/02/2025 14:30:00 - 13/02/2025 14:45:00","BZN|PL","Without Sequence","208.68","",""
"13/02/2025 14:45:00 - 13/02/2025 15:00:00","BZN|PL","Without Sequence","208.68","",""
"13/02/2025 15:00:00 - 13/02/2025 15:15:00","BZN|PL","Without Sequence","209.50","",""
"13/02/2025 15:15:00 - 13/02/2025 15:30:00","BZN|PL","Without Sequence","209.50","",""
"13/02/2025 15:30:00 - 13/02/2025 15:45:00","BZN|PL","Without Sequence","209.50","",""
"13/02/2025 15:45:00 - 13/02/2025 16:00:00","BZN|PL","Without Sequence","209.50","",""
"13/02/2025 16:00:00 - 13/02/2025 16:15:00","BZN|PL","Without Sequence","215.74","",""
"13/02/2025 16:15:00 - 13/02/2025 16:30:00","BZN|PL","Without Sequence","215.74","",""
"13/02/2025 16:30:00 - 13/02/2025 16:45:00","BZN|PL","Without Sequence","215.74","",""
"13/02/2025 16:45:00 - 13/02/2025 17:00:00","BZN|PL","Without Sequence","215.74","",""
"13/02/2025 17:00:00 - 13/02/2025 17:15:00","BZN|PL","Without Sequence","206.29","",""
"13/02/2025 17:15:00 - 13/02/2025 17:30:00","BZN|PL","Without Sequence","206.29","",""
"13/02/2025 17:30:00 - 13/02/2025 17:45:00","BZN|PL","Without Sequence","206.29","",""
"13/02/2025 17:45:00 - 13/02/2025 18:00:00","BZN|PL","Without Sequence","206.29","",""
"13/02/2025 18:00:00 - 13/02/2025 18:15:00","BZN|PL","Without Sequence","196.52","",""
"13/02/2025 18:15:00 - 13/02/2025 18:30:00","BZN|PL","Without Sequence","196.52","",""
"13/02/2025 18:30:00 - 13/02/2025 18:45:00","BZN|PL","Without Sequence","196.52","",""
"13/02/2025 18:45:00 - 13/02/2025 19:00:00","BZN|PL","Without Sequence","196.52","",""
"13/02/2025 19:00:00 - 13/02/2025 19:15:00","BZN|PL","Without Sequence","176.83","",""
"13/02/2025 19:15:00 - 13/02/2025 19:30:00","BZN|PL","Without Sequence","176.83","",""
"13/02/2025 19:30:00 - 13/02/2025 19:45:00","BZN|PL","Without Sequence","176.83","",""
"13/02/2025 19:45:00 - 13/02/2025 20:00:00","BZN|PL","Without Sequence","176.83","",""
"13/02/2025 20:00:00 - 13/02/2025 20:15:00","BZN|PL","Without Sequence","153.43","",""
"13/02/2025 20:15:00 - 13/02/2025 20:30:00","BZN|PL","Without Sequence","153.43","",""
"13/02/2025 20:30:00 - 13/02/2025 20:45:00","BZN|PL","Without Sequence","153.43","",""
"13/02/2025 20:45:00 - 13/02/2025 21:00:00","BZN|PL","Without Sequence","153.43","",""
"13/02/2025 21:00:00 - 13/02/2025 21:15:00","BZN|PL","Without Sequence","153.12","",""
"13/02/2025 21:15:00 - 13/02/2025 21:30:00","BZN|PL","Without Sequence","153.12","",""
"13/02/2025 21:30:00 - 13/02/2025 21:45:00","BZN|PL","Without Sequence","153.12","",""
"13/02/2025 21:45:00 - 13/02/2025 22:00:00","BZN|PL","Without Sequence","153.12","",""
"13/02/2025 22:00:00 - 13/02/2025 22:15:00","BZN|PL","Without Sequence","138.37","",""
"13/02/2025 22:15:00 - 13/02/2025 22:30:00","BZN|PL","Without Sequence","138.37","",""
"13/02/2025 22:30:00 - 13/02/2025 22:45:00","BZN|PL","Without Sequence","138.37","",""
"13/02/2025 22:45:00 - 13/02/2025 23:00:00","BZN|PL","Without Sequence","138.37","",""
"13/02/2025 23:00:00 - 13/02/2025 23:15:00","BZN|PL","Without Sequence","139.58","",""
"13/02/2025 23:15:00 - 13/02/2025 23:30:00","BZN|PL","Without Sequence","139.58","",""
"13/02/2025 23:30:00 - 13/02/2025 23:45:00","BZN|PL","Without Sequence","139.58","",""
"13/02/2025 23:45:00 - 14/02/2025 00:00:00","BZN|PL","Without Sequence","139.58","",""
"14/02/2025 00:00:00 - 14/02/2025 00:15:00","BZN|PL","Without Sequence","125.31","",""
"14/02/2025 00:15:00 - 14/02/2025 00:30:00","BZN|PL","Without Sequence","125.31","",""
"14/02/2025 00:30:00 - 14/02/2025 00:45:00","BZN|PL","Without Sequence","125.31","",""
"14/02/2025 00:45:00 - 14/02/2025 01:00:00","BZN|PL","Without Sequence","125.31","",""
"14/02/2025 01:00:00 - 14/02/2025 01:15:00","BZN|PL","Without Sequence","123.32","",""
"14/02/2025 01:15:00 - 14/02/2025 01:30:00","BZN|PL","Without Sequence","123.32","",""
"14/02/2025 01:30:00 - 14/02/2025 01:45:00","BZN|PL","Without Sequence","123.32","",""
"14/02/2025 01:45:00 - 14/02/2025 02:00:00","BZN|PL","Without Sequence","123.32","",""
"14/02/2025 02:00:00 - 14/02/2025 02:15:00","BZN|PL","Without Sequence","122.51","",""
"14/02/2025 02:15:00 - 14/02/2025 02:30:00","BZN|PL","Without Sequence","122.51","",""
"14/02/2025 02:30:00 - 14/02/2025 02:45:00","BZN|PL","Without Sequence","122.51","",""
"14/02/2025 02:45:00 - 14/02/2025 03:00:00","BZN|PL","Without Sequence","122.51","",""
"14/02/2025 03:00:00 - 14/02/2025 03:15:00","BZN|PL","Without Sequence","129.10","",""
"14/02/2025 03:15:00 - 14/02/2025 03:30:00","BZN|PL","Without Sequence","129.10","",""
"14/02/2025 03:30:00 - 14/02/2025 03:45:00","BZN|PL","Without Sequence","129.10","",""
"14/02/2025 03:45:00 - 14/02/2025 04:00:00","BZN|PL","Without Sequence","129.10","",""
"14/02/2025 04:00:00 - 14/02/2025 04:15:00","BZN|PL","Without Sequence","140.02","",""
"14/02/2025 04:15:00 - 14/02/2025 04:30:00","BZN|PL","Without Sequence","140.02","",""
"14/02/2025 04:30:00 - 14/02/2025 04:45:00","BZN|PL","Without Sequence","140.02","",""
"14/02/2025 04:45:00 - 14/02/2025 05:00:00","BZN|PL","Without Sequence","140.02","",""
"14/02/2025 05:00:00 - 14/02/2025 05:15:00","BZN|PL","Without Sequence","160.16","",""
"14/02/2025 05:15:00 - 14/02/2025 05:30:00","BZN|PL","Without Sequence","160.16","",""
"14/02/2025 05:30:00 - 14/02/2025 05:45:00","BZN|PL","Without Sequence","160.16","",""
"14/02/2025 05:45:00 - 14/02/2025 06:00:00","BZN|PL","Without Sequence","160.16","",""
"14/02/2025 06:00:00 - 14/02/2025 06:15:00","BZN|PL","Without Sequence","225.70","",""
"14/02/2025 06:15:00 - 14/02/2025 06:30:00","BZN|PL","Without Sequence","225.70","",""
"14/02/2025 06:30:00 - 14/02/2025 06:45:00","BZN|PL","Without Sequence","225.70","",""
"14/02/2025 06:45:00 - 14/02/2025 07:00:00","BZN|PL","Without Sequence","225.70","",""
"14/02/2025 07:00:00 - 14/02/2025 07:15:00","BZN|PL","Without Sequence","254.14","",""
"14/02/2025 07:15:00 - 14/02/2025 07:30:00","BZN|PL","Without Sequence","254.14","",""
"14/02/2025 07:30:00 - 14/02/2025 07:45:00","BZN|PL","Without Sequence","254.14","",""
"14/02/2025 07:45:00 - 14/02/2025 08:00:00","BZN|PL","Without Sequence","254.14","",""
"14/02/2025 08:00:00 - 14/02/2025 08:15:00","BZN|PL","Without Sequence","202.33","",""
"14/02/2025 08:15:00 - 14/02/2025 08:30:00","BZN|PL","Without Sequence","202.33","",""
"14/02/2025 08:30:00 - 14/02/2025 08:45:00","BZN|PL","Without Sequence","202.33","",""
"14/02/2025 08:45:00 - 14/02/2025 09:00:00","BZN|PL","Without Sequence","202.33","",""
"14/02/2025 09:00:00 - 14/02/2025 09:15:00","BZN|PL","Without Sequence","167.98","",""
"14/02/2025 09:15:00 - 14/02/2025 09:30:00","BZN|PL","Without Sequence","167.98","",""
"14/02/2025 09:30:00 - 14/02/2025 09:45:00","BZN|PL","Without Sequence","167.98","",""
"14/02/2025 09:45:00 - 14/02/2025 10:00:00","BZN|PL","Without Sequence","167.98","",""
"14/02/2025 10:00:00 - 14/02/2025 10:15:00","BZN|PL","Without Sequence","163.56","",""
"14/02/2025 10:15:00 - 14/02/2025 10:30:00","BZN|PL","Without Sequence","163.56","",""
"14/02/2025 10:30:00 - 14/02/2025 10:45:00","BZN|PL","Without Sequence","163.56","",""
"14/02/2025 10:45:00 - 14/02/2025 11:00:00","BZN|PL","Without Sequence","163.56","",""
"14/02/2025 11:00:00 - 14/02/2025 11:15:00","BZN|PL","Without Sequence","150.01","",""
"14/02/2025 11:15:00 - 14/02/2025 11:30:00","BZN|PL","Without Sequence","150.01","",""
"14/02/2025 11:30:00 - 14/02/2025 11:45:00","BZN|PL","Without Sequence","150.01","",""
"14/02/2025 11:45:00 - 14/02/2025 12:00:00","BZN|PL","Without Sequence","150.01","",""
"14/02/2025 12:00:00 - 14/02/2025 12:15:00","BZN|PL","Without Sequence","149.22","",""
"14/02/2025 12:15:00 - 14/02/2025 12:30:00","BZN|PL","Without Sequence","149.22","",""
"14/02/2025 12:30:00 - 14/02/2025 12:45:00","BZN|PL","Without Sequence","149.22","",""
"14/02/2025 12:45:00 - 14/02/2025 13:00:00","BZN|PL","Without Sequence","149.22","",""
"14/02/2025 13:00:00 - 14/02/2025 13:15:00","BZN|PL","Without Sequence","149.85","",""
"14/02/2025 13:15:00 - 14/02/2025 13:30:00","BZN|PL","Without Sequence","149.85","",""
"14/02/2025 13:30:00 - 14/02/2025 13:45:00","BZN|PL","Without Sequence","149.85","",""
"14/02/2025 13:45:00 - 14/02/2025 14:00:00","BZN|PL","Without Sequence","149.85","",""
"14/02/2025 14:00:00 - 14/02/2025 14:15:00","BZN|PL","Without Sequence","161.81","",""
"14/02/2025 14:15:00 - 14/02/2025 14:30:00","BZN|PL","Without Sequence","161.81","",""
"14/02/2025 14:30:00 - 14/02/2025 14:45:00","BZN|PL","Without Sequence","161.81","",""
"14/02/2025 14:45:00 - 14/02/2025 15:00:00","BZN|PL","Without Sequence","161.81","",""
"14/02/2025 15:00:00 - 14/02/2025 15:15:00","BZN|PL","Without Sequence","202.51","",""
"14/02/2025 15:15:00 - 14/02/2025 15:30:00","BZN|PL","Without Sequence","202.51","",""
"14/02/2025 15:30:00 - 14/02/2025 15:45:00","BZN|PL","Without Sequence","202.51","",""
"14/02/2025 15:45:00 - 14/02/2025 16:00:00","BZN|PL","Without Sequence","202.51","",""
"14/02/2025 16:00:00 - 14/02/2025 16:15:00","BZN|PL","Without Sequence","300.14","",""
"14/02/2025 16:15:00 - 14/02/2025 16:30:00","BZN|PL","Without Sequence","300.14","",""
"14/02/2025 16:30:00 - 14/02/2025 16:45:00","BZN|PL","Without Sequence","300.14","",""
"14/02/2025 16:45:00 - 14/02/2025 17:00:00","BZN|PL","Without Sequence","300.14","",""
"14/02/2025 17:00:00 - 14/02/2025 17:15:00","BZN|PL","Without Sequence","291.43","",""
"14/02/2025 17:15:00 - 14/02/2025 17:30:00","BZN|PL","Without Sequence","291.43","",""
"14/02/2025 17:30:00 - 14/02/2025 17:45:00","BZN|PL","Without Sequence","291.43","",""
"14/02/2025 17:45:00 - 14/02/2025 18:00:00","BZN|PL","Without Sequence","291.43","",""
"14/02/2025 18:00:00 - 14/02/2025 18:15:00","BZN|PL","Without Sequence","226.18","",""
"14/02/2025 18:15:00 - 14/02/2025 18:30:00","BZN|PL","Without Sequence","226.18","",""
"14/02/2025 18:30:00 - 14/02/2025 18:45:00","BZN|PL","Without Sequence","226.18","",""
"14/02/2025 18:45:00 - 14/02/2025 19:00:00","BZN|PL","Without Sequence","226.18","",""
"14/02/2025 19:00:00 - 14/02/2025 19:15:00","BZN|PL","Without Sequence","183.55","",""
"14/02/2025 19:15:00 - 14/02/2025 19:30:00","BZN|PL","Without Sequence","183.55","",""
"14/02/2025 19:30:00 - 14/02/2025 19:45:00","BZN|PL","Without Sequence","183.55","",""
"14/02/2025 19:45:00 - 14/02/2025 20:00:00","BZN|PL","Without Sequence","183.55","",""
"14/02/2025 20:00:00 - 14/02/2025 20:15:00","BZN|PL","Without Sequence","163.68","",""
"14/02/2025 20:15:00 - 14/02/2025 20:30:00","BZN|PL","Without Sequence","163.68","",""
"14/02/2025 20:30:00 - 14/02/2025 20:45:00","BZN|PL","Without Sequence","163.68","",""
"14/02/2025 20:45:00 - 14/02/2025 21:00:00","BZN|PL","Without Sequence","163.68","",""
"14/02/2025 21:00:00 - 14/02/2025 21:15:00","BZN|PL","Without Sequence","153.00","",""
"14/02/2025 21:15:00 - 14/02/2025 21:30:00","BZN|PL","Without Sequence","153.00","",""
"14/02/2025 21:30:00 - 14/02/2025 21:45:00","BZN|PL","Without Sequence","153.00","",""
"14/02/2025 21:45:00 - 14/02/2025 22:00:00","BZN|PL","Without Sequence","153.00","",""
"14/02/2025 22:00:00 - 14/02/2025 22:15:00","BZN|PL","Without Sequence","140.03","",""
"14/02/2025 22:15:00 - 14/02/2025 22:30:00","BZN|PL","Without Sequence","140.03","",""
"14/02/2025 22:30:00 - 14/02/2025 22:45:00","BZN|PL","Without Sequence","140.03","",""
"14/02/2025 22:45:00 - 14/02/2025 23:00:00","BZN|PL","Without Sequence","140.03","",""
"14/02/2025 23:00:00 - 14/02/2025 23:15:00","BZN|PL","Without Sequence","135.57","",""
"14/02/2025 23:15:00 - 14/02/2025 23:30:00","BZN|PL","Without Sequence","135.57","",""
"14/02/2025 23:30:00 - 14/02/2025 23:45:00","BZN|PL","Without Sequence","135.57","",""
"14/02/2025 23:45:00 - 15/02/2025 00:00:00","BZN|PL","Without Sequence","135.57","",""
"15/02/2025 00:00:00 - 15/02/2025 00:15:00","BZN|PL","Without Sequence","130.61","",""
"15/02/2025 00:15:00 - 15/02/2025 00:30:00","BZN|PL","Without Sequence","130.61","",""
"15/02/2025 00:30:00 - 15/02/2025 00:45:00","BZN|PL","Without Sequence","130.61","",""
"15/02/2025 00:45:00 - 15/02/2025 01:00:00","BZN|PL","Without Sequence","130.61","",""
"15/02/2025 01:00:00 - 15/02/2025 01:15:00","BZN|PL","Without Sequence","120.19","",""
"15/02/2025 01:15:00 - 15/02/2025 01:30:00","BZN|PL","Without Sequence","120.19","",""
"15/02/2025 01:30:00 - 15/02/2025 01:45:00","BZN|PL","Without Sequence","120.19","",""
"15/02/2025 01:45:00 - 15/02/2025 02:00:00","BZN|PL","Without Sequence","120.19","",""
"15/02/2025 02:00:00 - 15/02/2025 02:15:00","BZN|PL","Without Sequence","118.59","",""
"15/02/2025 02:15:00 - 15/02/2025 02:30:00","BZN|PL","Without Sequence","118.59","",""
"15/02/2025 02:30:00 - 15/02/2025 02:45:00","BZN|PL","Without Sequence","118.59","",""
"15/02/2025 02:45:00 - 15/02/2025 03:00:00","BZN|PL","Without Sequence","118.59","",""
"15/02/2025 03:00:00 - 15/02/2025 03:15:00","BZN|PL","Without Sequence","118.85","",""
"15/02/2025 03:15:00 - 15/02/2025 03:30:00","BZN|PL","Without Sequence","118.85","",""
"15/02/2025 03:30:00 - 15/02/2025 03:45:00","BZN|PL","Without Sequence","118.85","",""
"15/02/2025 03:45:00 - 15/02/2025 04:00:00","BZN|PL","Without Sequence","118.85","",""
"15/02/2025 04:00:00 - 15/02/2025 04:15:00","BZN|PL","Without Sequence","120.75","",""
"15/02/2025 04:15:00 - 15/02/2025 04:30:00","BZN|PL","Without Sequence","120.75","",""
"15/02/2025 04:30:00 - 15/02/2025 04:45:00","BZN|PL","Without Sequence","120.75","",""
"15/02/2025 04:45:00 - 15/02/2025 05:00:00","BZN|PL","Without Sequence","120.75","",""
"15/02/2025 05:00:00 - 15/02/2025 05:15:00","BZN|PL","Without Sequence","134.36","",""
"15/02/2025 05:15:00 - 15/02/2025 05:30:00","BZN|PL","Without Sequence","134.36","",""
"15/02/2025 05:30:00 - 15/02/2025 05:45:00","BZN|PL","Without Sequence","134.36","",""
"15/02/2025 05:45:00 - 15/02/2025 06:00:00","BZN|PL","Without Sequence","134.36","",""
"15/02/2025 06:00:00 - 15/02/2025 06:15:00","BZN|PL","Without Sequence","149.10","",""
"15/02/2025 06:15:00 - 15/02/2025 06:30:00","BZN|PL","Without Sequence","149.10","",""
"15/02/2025 06:30:00 - 15/02/2025 06:45:00","BZN|PL","Without Sequence","149.10","",""
"15/02/2025 06:45:00 - 15/02/2025 07:00:00","BZN|PL","Without Sequence","149.10","",""
"15/02/2025 07:00:00 - 15/02/2025 07:15:00","BZN|PL","Without Sequence","150.57","",""
"15/02/2025 07:15:00 - 15/02/2025 07:30:00","BZN|PL","Without Sequence","150.57","",""
"15/02/2025 07:30:00 - 15/02/2025 07:45:00","BZN|PL","Without Sequence","150.57","",""
"15/02/2025 07:45:00 - 15/02/2025 08:00:00","BZN|PL","Without Sequence","150.57","",""
"15/02/2025 08:00:00 - 15/02/2025 08:15:00","BZN|PL","Without Sequence","137.04","",""
"15/02/2025 08:15:00 - 15/02/2025 08:30:00","BZN|PL","Without Sequence","137.04","",""
"15/02/2025 08:30:00 - 15/02/2025 08:45:00","BZN|PL","Without Sequence","137.04","",""
"15/02/2025 08:45:00 - 15/02/2025 09:00:00","BZN|PL","Without Sequence","137.04","",""
"15/02/2025 09:00:00 - 15/02/2025 09:15:00","BZN|PL","Without Sequence","124.59","",""
"15/02/2025 09:15:00 - 15/02/2025 09:30:00","BZN|PL","Without Sequence","124.59","",""
"15/02/2025 09:30:00 - 15/02/2025 09:45:00","BZN|PL","Without Sequence","124.59","",""
"15/02/2025 09:45:00 - 15/02/2025 10:00:00","BZN|PL","Without Sequence","124.59","",""
"15/02/2025 10:00:00 - 15/02/2025 10:15:00","BZN|PL","Without Sequence","118.36","",""
"15/02/2025 10:15:00 - 15/02/2025 10:30:00","BZN|PL","Without Sequence","118.36","",""
"15/02/2025 10:30:00 - 15/02/2025 10:45:00","BZN|PL","Without Sequence","118.36","",""
"15/02/2025 10:45:00 - 15/02/2025 11:00:00","BZN|PL","Without Sequence","118.36","",""
"15/02/2025 11:00:00 - 15/02/2025 11:15:00","BZN|PL","Without Sequence","112.39","",""
"15/02/2025 11:15:00 - 15/02/2025 11:30:00","BZN|PL","Without Sequence","112.39","",""
"15/02/2025 11:30:00 - 15/02/2025 11:45:00","BZN|PL","Without Sequence","112.39","",""
"15/02/2025 11:45:00 - 15/02/2025 12:00:00","BZN|PL","Without Sequence","112.39","",""
"15/02/2025 12:00:00 - 15/02/2025 12:15:00","BZN|PL","Without Sequence","110.01","",""
"15/02/2025 12:15:00 - 15/02/2025 12:30:00","BZN|PL","Without Sequence","110.01","",""
"15/02/2025 12:30:00 - 15/02/2025 12:45:00","BZN|PL","Without Sequence","110.01","",""
"15/02/2025 12:45:00 - 15/02/2025 13:00:00","BZN|PL","Without Sequence","110.01","",""
"15/02/2025 13:00:00 - 15/02/2025 13:15:00","BZN|PL","Without Sequence","117.16","",""
"15/02/2025 13:15:00 - 15/02/2025 13:30:00","BZN|PL","Without Sequence","117.16","",""
"15/02/2025 13:30:00 - 15/02/2025 13:45:00","BZN|PL","Without Sequence","117.16","",""
"15/02/2025 13:45:00 - 15/02/2025 14:00:00","BZN|PL","Without Sequence","117.16","",""
"15/02/2025 14:00:00 - 15/02/2025 14:15:00","BZN|PL","Without Sequence","141.66","",""
"15/02/2025 14:15:00 - 15/02/2025 14:30:00","BZN|PL","Without Sequence","141.66","",""
